dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,ap,auc,feature_count,features,alpha
1year.arff,4,BAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5988245480606738,0.4074074074074074,0.8801775147928994,0.1195652173913043,0.1848739495798319,0.1392405063291139,0.275,0.1638727809863705,0.38877828970346295,0.6437924611001534,0.106702444999578,0.7581147880293179,20.0,20.0,
1year.arff,4,BalancedRF,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7390321078443525,0.7037037037037037,0.7761341222879684,0.111545988258317,0.1925675675675675,0.1341176470588235,0.3413173652694611,0.2152147971087876,0.48985353603477777,0.7399189129958361,0.2177964295079607,0.799693184308569,,,
1year.arff,4,EasyEnsemble,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6247652784463665,0.4074074074074074,0.958086785009862,0.2796610169491525,0.3316582914572864,0.298372513562387,0.3733031674208145,0.3056189868390062,0.4922715088312532,0.6827470962086346,0.3441202911462626,0.8646662770594394,,,
1year.arff,4,ExtraTrees_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5672664446511151,0.3703703703703703,0.868836291913215,0.1013513513513513,0.1591511936339522,0.1185770750988142,0.2419354838709677,0.132344226029494,0.34921513885117245,0.6196033311417927,0.1520064302250743,0.7401989431903961,,,
1year.arff,4,HistGB,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6470843779774518,0.419753086419753,0.997534516765286,0.8717948717948718,0.5666666666666667,0.7172995780590717,0.4683195592286501,0.5952432666209967,0.6293208306401221,0.7086438015925196,0.6462537526841969,0.9136319916234446,,,
1year.arff,4,INGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5925241029892997,0.4444444444444444,0.7899408284023669,0.0779220779220779,0.1325966850828729,0.093312597200622,0.2290076335877862,0.1089027928525799,0.33688656122225497,0.6171926364234057,0.0807210682304605,0.681331726203521,29.0,29.0,
1year.arff,4,LR_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7194098887723247,0.6296296296296297,0.821992110453649,0.1237864077669902,0.2068965517241379,0.1474840948525159,0.3464673913043478,0.2189080817443629,0.48388058895149555,0.7258108700416392,0.1667021115674289,0.7706978839457471,,,
1year.arff,4,MSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6020081895432222,0.4567901234567901,0.7933925049309665,0.0811403508771929,0.1378026070763501,0.0971128608923884,0.2371794871794871,0.1167924550043567,0.3485030062155314,0.6250913141938783,0.0884503284840689,0.7092251686268779,39.0,39.0,
1year.arff,4,NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6698005092092687,0.5802469135802469,0.7731755424063116,0.0927021696252465,0.1598639455782313,0.1114272166903745,0.2827918170878459,0.1589407982188024,0.41467588369596137,0.6767112279932792,0.0838422494259226,0.7350122969781089,35.0,35.0,
1year.arff,4,PBMSBAINGO-HGBKELM(F2-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6470843779774518,0.419753086419753,0.997534516765286,0.8717948717948718,0.5666666666666667,0.7172995780590717,0.4683195592286501,0.5952432666209967,0.6293208306401221,0.7086438015925196,0.638841317460061,0.8765919107799448,12.0,12.0,
1year.arff,4,PBMSBAINGO-HGBKELM(MCC-guarded),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6470843779774518,0.419753086419753,0.997534516765286,0.8717948717948718,0.5666666666666667,0.7172995780590717,0.4683195592286501,0.5952432666209967,0.6293208306401221,0.7086438015925196,0.641214397116381,0.8799522731146663,,12.0,
