dataset,method,policy,auc_deduplicated,ap_deduplicated,mcc_deduplicated,balanced_accuracy_deduplicated,brier_deduplicated,log_loss_deduplicated,auc_raw,ap_raw,mcc_raw,balanced_accuracy_raw,brier_raw,log_loss_raw,delta_raw_minus_deduplicated_auc,delta_raw_minus_deduplicated_ap,delta_raw_minus_deduplicated_mcc,delta_raw_minus_deduplicated_balanced_accuracy,delta_raw_minus_deduplicated_brier,delta_raw_minus_deduplicated_log_loss
PONE2016_h3_target_Europe,KELM_score_fusion,triad,0.682392710170488,0.7139442448148506,0.2310726156379586,0.6137566137566137,0.255731981328806,0.736096794800908,0.7264739229024944,0.7601503707728279,0.2925089696508522,0.6428571428571428,0.2251180280689303,0.643647485678463,0.04408121273200638,0.04620612595797724,0.0614363540128936,0.02910052910052907,-0.030613953259875676,-0.09244930912244498
PONE2016_h3_target_Europe,KELM_risk_feature,triad,0.708259847148736,0.7168302617058938,0.2520233164512753,0.6208112874779541,0.227752803950951,0.6476129419234462,0.6595804988662132,0.6799785705137968,0.2823138692962342,0.5952380952380952,0.2366354436403638,0.6679328002459306,-0.04867934828252285,-0.03685169119209697,0.030290552844958907,-0.025573192239858877,0.008882639689412802,0.020319858322484396
PONE2016_h3_target_Europe,Full_PBMSBAINGO,triad,0.7078189300411523,0.6906460538365762,0.2182178902359923,0.5873015873015872,0.2252938717494298,0.6424853750025734,0.6770124716553287,0.6279024315543436,0.2003132343344537,0.5952380952380952,0.2285311176399802,0.6502557571355743,-0.03080645838582352,-0.06274362228223263,-0.017904655901538613,0.00793650793650802,0.003237245890550411,0.007770382133000853
PONE2016_h3_target_Europe,Uncertainty_gated_fusion,triad,0.708259847148736,0.7168302617058938,0.2520233164512753,0.6208112874779541,0.227752803950951,0.6476129419234462,0.6595804988662132,0.6799785705137968,0.2823138692962342,0.5952380952380952,0.2366354436403638,0.6679328002459306,-0.04867934828252285,-0.03685169119209697,0.030290552844958907,-0.025573192239858877,0.008882639689412802,0.020319858322484396
PONE2016_h3_target_Europe,Full_random_search,triad,0.6929747207524987,0.6786460742390332,0.2182178902359923,0.5873015873015872,0.2259982590790655,0.6443804479390158,0.6510770975056689,0.5986079486031938,0.1624591083221647,0.5714285714285714,0.2328741324093272,0.6587787497881373,-0.041897623246829774,-0.08003812563583945,-0.055758781913827604,-0.015873015873015817,0.006875873330261684,0.014398301849121498
PONE2016_h3_target_Europe,Balanced_logistic,triad,0.7091416813639035,0.7118554167414453,0.3353540843402062,0.652336860670194,0.2157679125424065,0.6611578058351401,0.7069160997732427,0.7060280793778807,0.3495310368212778,0.6607142857142857,0.2156010218854695,0.6598787179446952,-0.0022255815906608856,-0.005827337363564555,0.014176952481071592,0.008377425044091669,-0.0001668906569369799,-0.001279087890444841
PONE2016_h3_target_North_America,HistGB,triad,0.7581513137068693,0.7425057484630788,0.2802966691779787,0.6096866096866097,0.2081986360141605,0.6053359530164972,0.7591811220503204,0.7468475699906321,0.2655843061641402,0.5979840600093764,0.211326935402111,0.6123105393950088,0.0010298083434511218,0.004341821527553247,-0.014712363013838492,-0.011702549677233276,0.003128299387950506,0.00697458637851156
PONE2016_h3_target_North_America,KELM_PBMSBAINGO,triad,0.7562519784742008,0.767370811659934,0.2712028228247315,0.5859449192782527,0.2393843194761679,0.7535950957469835,0.7926238474761681,0.7887918393583916,0.4466138053037711,0.7198781059540553,0.1948806369924615,0.5778782665743255,0.036371869001967316,0.02142102769845755,0.17541098247903958,0.13393318667580267,-0.0445036824837064,-0.17571682917265796
PONE2016_h3_target_North_America,KELM_score_fusion,triad,0.7673314339981007,0.7736579804530473,0.2963530403349558,0.5982905982905983,0.2103665846995516,0.6159088138393632,0.7591811220503204,0.7468475699906321,0.2655843061641402,0.5979840600093764,0.211326935402111,0.6123105393950088,-0.008150311947780264,-0.02681041046241528,-0.030768734170815604,-0.00030653828122184645,0.0009603507025593983,-0.0035982744443544545
PONE2016_h3_target_North_America,KELM_risk_feature,triad,0.775403608736942,0.8079473451878776,0.4132285650013326,0.6778252611585944,0.1936878993547314,0.5774623758550703,0.7884044381934676,0.8155934787686656,0.4402498826047599,0.696593217690264,0.1931938325677608,0.5694958582511764,0.013000829456525587,0.007646133580788028,0.027021317603427297,0.018767956531669627,-0.000494066786970615,-0.007966517603893886
