dataset,seed,method,mcc,sensitivity,specificity,precision,f2,ap,tp,fp,tn,fn
3year.arff,2,HistGB_fair,0.3588328279292649,0.5234899328859061,0.9400399733510992,0.3023255813953488,0.4566744730679157,0.4433450191221288,78.0,180.0,2822.0,71.0
3year.arff,2,Balanced_forest_reference,0.1775615084020811,0.4228187919463087,0.8704197201865423,0.1393805309734513,0.3005725190839695,0.1836162202976102,63.0,389.0,2613.0,86.0
3year.arff,2,EasyEnsemble_reference,0.1944341154397088,0.3892617449664429,0.9007328447701533,0.1629213483146067,0.3046218487394959,0.1346395843822351,58.0,298.0,2704.0,91.0
3year.arff,3,Balanced_logistic,0.1527234642624617,0.4765100671140939,0.8121252498334444,0.1118110236220472,0.2883834281072299,0.147601922031649,71.0,564.0,2438.0,78.0
3year.arff,3,Random_forest,0.2723355788984508,0.610738255033557,0.8610926049300467,0.1791338582677165,0.4121376811594203,0.3102663808380276,91.0,417.0,2585.0,58.0
3year.arff,3,Extra_trees,0.173359142694007,0.5637583892617449,0.782145236508994,0.1138211382113821,0.3148425787106447,0.1277469439051876,84.0,654.0,2348.0,65.0
3year.arff,3,HistGB_fair,0.3746181523965909,0.6644295302013423,0.907728181212525,0.2632978723404255,0.5092592592592593,0.513814574939621,99.0,277.0,2725.0,50.0
3year.arff,3,Balanced_forest_reference,0.2129657662746895,0.5838926174496645,0.8181212524983345,0.1374407582938388,0.3539462978030919,0.2209374218477449,87.0,546.0,2456.0,62.0
3year.arff,3,EasyEnsemble_reference,0.2460118392240273,0.5906040268456376,0.8477681545636242,0.1614678899082569,0.3856266432953549,0.1759963998234004,88.0,457.0,2545.0,61.0
3year.arff,4,Balanced_logistic,0.1737239364653184,0.4630872483221476,0.8444370419720186,0.1287313432835821,0.3047703180212014,0.1647025008412052,69.0,467.0,2535.0,80.0
3year.arff,4,Random_forest,0.2647076466548206,0.5436241610738255,0.8840772818121253,0.1888111888111888,0.3951219512195122,0.2819573917493664,81.0,348.0,2654.0,68.0
3year.arff,4,Extra_trees,0.1825427839465054,0.5302013422818792,0.8147901399067289,0.1244094488188976,0.3208773354995938,0.133568146232912,79.0,556.0,2446.0,70.0
3year.arff,4,HistGB_fair,0.4626881199406197,0.4966442953020134,0.9733510992671552,0.4805194805194805,0.4933333333333333,0.4800350057763695,74.0,80.0,2922.0,75.0
3year.arff,4,Balanced_forest_reference,0.2026824522967942,0.5503355704697986,0.8257828114590273,0.1355371900826446,0.3413821815154038,0.2081153975171057,82.0,523.0,2479.0,67.0
3year.arff,4,EasyEnsemble_reference,0.2384733809418192,0.5838926174496645,0.844103930712858,0.1567567567567567,0.3779322328410077,0.1644637491753978,87.0,468.0,2534.0,62.0
3year.arff,5,Balanced_logistic,0.1845821847365285,0.4697986577181208,0.8517654896735509,0.1359223300970873,0.315031503150315,0.1779720386182568,70.0,445.0,2557.0,79.0
3year.arff,5,Random_forest,0.2475060919011812,0.5369127516778524,0.8740839440373085,0.1746724890829694,0.3795066413662239,0.2255693829453477,80.0,378.0,2624.0,69.0
3year.arff,5,Extra_trees,0.1409035111347858,0.3892617449664429,0.8530979347101932,0.1162324649298597,0.2648401826484018,0.1065912707338517,58.0,441.0,2561.0,91.0
3year.arff,5,HistGB_fair,0.4361416973468633,0.5436241610738255,0.9596935376415724,0.400990099009901,0.5075187969924811,0.5087042442903348,81.0,121.0,2881.0,68.0
3year.arff,5,Balanced_forest_reference,0.2305208480225087,0.5838926174496645,0.8364423717521652,0.1505190311418685,0.3705281090289608,0.160096848201512,87.0,491.0,2511.0,62.0
