horizon,target_region,method,auc,ap,mcc,balanced_accuracy,brier,log_loss,ece_10,calibration_intercept,calibration_slope,absolute_intercept,absolute_slope_error
3,Asia,Balanced_logistic,0.8563327032136107,0.8712030268600252,0.5597170785495562,0.7717391304347826,0.1955782765100358,0.5775951833113209,0.1824546229969273,-1.0466272369390175,3.1750868289988445,1.0466272369390175,2.1750868289988445
3,Asia,Full_PBMSBAINGO,0.8659735349716445,0.8600306259364704,0.471485582736462,0.732608695652174,0.15821423546583901,0.48923103233872334,0.12057688584960546,-0.32621839347220755,1.480300822660841,0.32621839347220755,0.48030082266084095
3,Asia,Full_random_search,0.8427221172022685,0.8454143035708223,0.4306078145086434,0.7108695652173914,0.17251277013517444,0.526209374155598,0.1067551903559594,-0.27825756529900436,1.5065100168257124,0.27825756529900436,0.5065100168257124
3,Asia,HistGB,0.833648393194707,0.8355040774194233,0.43692594732736023,0.7065217391304348,0.1763889987783558,0.5364223499824375,0.1092244544677792,-0.2456328908012478,1.5675160386211098,0.2456328908012478,0.5675160386211098
3,Asia,KELM_PBMSBAINGO,0.8870510396975426,0.8843478727066078,0.6174137452239169,0.8043478260869567,0.16043671847831448,0.48994563544925995,0.15821153122973616,-0.8904928987240275,2.347937067869195,0.8904928987240275,1.347937067869195
3,Asia,KELM_risk_feature,0.8949905482041588,0.8951088869258902,0.5949009126141176,0.7934782608695652,0.1513825557281558,0.46792976972690603,0.13201083748485024,-0.6436008202658592,1.877854424651042,0.6436008202658592,0.877854424651042
3,Asia,KELM_score_fusion,0.8876181474480151,0.8834588963829481,0.6193936622213025,0.8043478260869567,0.15948271665820818,0.4893778818614953,0.14713732224188814,-0.8252207928090958,2.293356404582551,0.8252207928090958,1.2933564045825512
3,Asia,Uncertainty_gated_fusion,0.8949905482041588,0.8951088869258902,0.5949009126141176,0.7934782608695652,0.1513825557281558,0.46792976972690603,0.13201083748485024,-0.6436008202658592,1.877854424651042,0.6436008202658592,0.877854424651042
3,Europe,Balanced_logistic,0.7091416813639035,0.7118554167414453,0.3353540843402062,0.652336860670194,0.2157679125424065,0.6611578058351401,0.094498668786478,0.0803744719031664,0.5485781441129249,0.0803744719031664,0.45142185588707506
3,Europe,Full_PBMSBAINGO,0.7037330981775426,0.6984890007578697,0.21159119907668922,0.5848765432098764,0.22570424359678332,0.6431277049438735,0.09819039110415058,-0.03865284030352204,0.8266143575184625,0.03865284030352204,0.17338564248153754
